Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Price Change,Volume Category,Weekday
2022-07-21 00:00:00-04:00,153.37579861856642,154.4380201582413,150.83442858613344,154.21961975097656,65086600,0.0,0.0,Up,Low,3
2022-07-22 00:00:00-04:00,154.2593242661837,155.1428476910099,152.29373572007518,152.96878051757812,66675400,0.0,0.0,Stable,Low,4
2022-07-25 00:00:00-04:00,152.8893819375884,153.91188620601224,151.1719740616575,151.83709716796875,53623900,0.0,0.0,Stable,Low,0
2022-07-26 00:00:00-04:00,151.15210384884918,151.97606633071229,149.70273574167712,150.49691772460938,55138700,0.0,0.0,Stable,Low,1
2022-07-27 00:00:00-04:00,151.46979603574118,156.18523398655745,151.05285386624263,155.64915466308594,78620700,0.0,0.0,Up,Low,2
2022-07-28 00:00:00-04:00,155.83776006052878,156.49296132906102,153.28646806313935,156.205078125,81378700,0.0,0.0,Stable,Low,3
2022-07-29 00:00:00-04:00,160.0667665213561,162.43937543512382,158.33942191994464,161.3275146484375,101786900,0.0,0.0,Up,Medium,4
2022-08-01 00:00:00-04:00,159.83843126014725,162.39966012415158,159.7193092680692,160.3347930908203,67829400,0.0,0.0,Stable,Low,0
2022-08-02 00:00:00-04:00,158.9350597643028,161.22824893378422,158.46847844479024,158.845703125,59907000,0.0,0.0,Stable,Low,1
2022-08-03 00:00:00-04:00,159.6696716507556,165.37783276052775,159.58033015580443,164.9211883544922,82507500,0.0,0.0,Up,Low,2
2022-08-04 00:00:00-04:00,164.802057337078,165.97347918953315,163.23355206046685,164.603515625,55474100,0.0,0.0,Stable,Low,3
2022-08-05 00:00:00-04:00,162.24749888246296,164.87192925071008,162.03873065336037,164.3748779296875,56697000,0.23,0.0,Stable,Low,4
2022-08-08 00:00:00-04:00,165.38884371034115,166.82035387271443,163.23164290160983,163.89768981933594,60276900,0.0,0.0,Stable,Low,0
2022-08-09 00:00:00-04:00,163.0527014843705,164.84208907505536,162.28723828775512,163.9473876953125,63135500,0.0,0.0,Stable,Low,1
2022-08-10 00:00:00-04:00,166.6911304336887,168.3413445262913,165.91573155524713,168.241943359375,70170500,0.0,0.0,Up,Low,2
2022-08-11 00:00:00-04:00,169.05710175033502,169.981625143728,167.19813456617948,167.49636840820312,57149200,0.0,0.0,Stable,Low,3
2022-08-12 00:00:00-04:00,168.81849992196163,171.15463177996858,168.4009635083527,171.08505249023438,68039400,0.0,0.0,Up,Low,4
2022-08-15 00:00:00-04:00,170.50849053382584,172.3674576326767,170.33949490382145,172.16864013671875,54091700,0.0,0.0,Stable,Low,0
2022-08-16 00:00:00-04:00,171.7610416171049,172.6855648992124,170.64765158762629,172.0095672607422,56377100,0.0,0.0,Stable,Low,1
2022-08-17 00:00:00-04:00,171.75111318137942,175.11116970804392,171.55229569197712,173.52061462402344,79542000,0.0,0.0,Stable,Low,2
2022-08-18 00:00:00-04:00,172.72533558822875,173.8685475692053,172.09904606416538,173.1229705810547,62290100,0.0,0.0,Stable,Low,3
2022-08-19 00:00:00-04:00,172.00957336680574,172.7153928940638,170.29971566437982,170.50848388671875,70346300,0.0,0.0,Down,Low,4
2022-08-22 00:00:00-04:00,168.68927985776972,168.8582754867634,166.1543150852595,166.581787109375,69026800,0.0,0.0,Down,Low,0
2022-08-23 00:00:00-04:00,166.09466509080892,167.71505719124045,165.66719308281202,166.2437744140625,54147100,0.0,0.0,Stable,Low,1
2022-08-24 00:00:00-04:00,166.33323915505275,167.1185734632123,165.2695421889627,166.5419921875,53841500,0.0,0.0,Stable,Low,2
2022-08-25 00:00:00-04:00,167.7846391796508,169.13661935113032,167.35718233359296,169.0272674560547,51218200,0.0,0.0,Up,Low,3
2022-08-26 00:00:00-04:00,169.56408490295894,170.041249895646,162.59541608646745,162.65505981445312,78961000,0.0,0.0,Down,Low,4
2022-08-29 00:00:00-04:00,160.19962917008817,161.93930873363652,158.87748605033718,160.42828369140625,73314000,0.0,0.0,Down,Low,0
2022-08-30 00:00:00-04:00,161.17386633770764,161.60132319310372,156.78987004226948,157.9728546142578,77906200,0.0,0.0,Down,Low,1
2022-08-31 00:00:00-04:00,159.36457407899903,159.6329860092314,156.2132708807033,156.2928009033203,87991100,0.0,0.0,Down,Medium,2
2022-09-01 00:00:00-04:00,155.7162500241605,157.48575165873473,153.7578664450861,157.02847290039062,74229900,0.0,0.0,Stable,Low,3
2022-09-02 00:00:00-04:00,158.80787968932827,159.41428284137288,154.05607079381832,154.89111328125,76957800,0.0,0.0,Down,Low,4
2022-09-06 00:00:00-04:00,155.5472289986997,156.1635677327629,152.7836250914596,153.61866760253906,73714800,0.0,0.0,Stable,Low,1
2022-09-07 00:00:00-04:00,153.90697629529427,155.74605705757313,152.70410543998995,155.04025268554688,87449600,0.0,0.0,Stable,Medium,2
2022-09-08 00:00:00-04:00,153.72803398009836,155.43789176039888,151.77958610180144,153.54910278320312,84923800,0.0,0.0,Stable,Medium,3
2022-09-09 00:00:00-04:00,154.5531361311841,156.88928336456686,153.83738102856478,156.44192504882812,68028800,0.0,0.0,Up,Low,4
2022-09-12 00:00:00-04:00,158.64883604164,163.29129353158893,158.36055295146778,162.4661865234375,104956000,0.0,0.0,Up,Medium,0
2022-09-13 00:00:00-04:00,158.95699854403776,159.59322359676912,152.46550982562525,152.9327392578125,122656600,0.0,0.0,Down,Medium,1
2022-09-14 00:00:00-04:00,153.87713588335606,156.17352564761967,152.70410208796778,154.39407348632812,87965400,0.0,0.0,Stable,Medium,2
2022-09-15 00:00:00-04:00,153.7379422076169,154.32447419812496,150.48723802498415,151.4713897705078,90481100,0.0,0.0,Down,Medium,3
2022-09-16 00:00:00-04:00,150.31826608989283,150.4574398520197,147.4950030786299,149.81126403808594,162278800,0.0,0.0,Down,High,4
2022-09-19 00:00:00-04:00,148.42944621192424,153.64848449036774,148.22069317531495,153.56895446777344,81474200,0.0,0.0,Up,Low,0
2022-09-20 00:00:00-04:00,152.49532670732881,157.14773457806697,152.1772217757577,155.9746856689453,107689800,0.0,0.0,Up,Medium,1
2022-09-21 00:00:00-04:00,156.41210805993703,157.80386087788722,152.6941738391562,152.81346130371094,101696800,0.0,0.0,Down,Medium,2
2022-09-22 00:00:00-04:00,151.48135586319546,153.5590266130833,150.0200238583572,151.8392333984375,86652500,0.0,0.0,Stable,Medium,3
2022-09-23 00:00:00-04:00,150.29837436292604,150.57672187712913,147.68387967365933,149.5428466796875,96029900,0.0,0.0,Down,Medium,4
2022-09-26 00:00:00-04:00,148.77740483714896,152.863167296889,148.75751853707166,149.880859375,93339400,0.0,0.0,Stable,Medium,0
2022-09-27 00:00:00-04:00,151.83923696514196,153.80755587080827,149.06568220966486,150.86500549316406,84442700,0.0,0.0,Stable,Medium,1
